title,rating,runtime,imdb_rating,meta_score,genre,release_year,description,director,stars,votes,gross,img_src,type
Feast of the Seven Fishes,,99,6.8,68,Comedy,2019,"A slice of life story that follows a large Italian family on Christmas Eve as they prepare for the traditional Feast of the Seven Fishes, reminisce about the past, and seek love in the future.",Robert Tinnell,"Tony Bingham, Skyler Gisondo, Paul Ben-Victor, Jean Zarzour, ","2,884",,"https://m.media-amazon.com/images/M/MV5BY2ZiYTA3OGMtMjBkOS00MDczLTkzODUtNDA0NGY1ZGM3M2JjXkEyXkFqcGdeQXVyNDExMzMxNjE@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Bad Santa,R,92,7.1,70,"Comedy, Crime, Drama",2003,A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid.,Terry Zwigoff,"Billy Bob Thornton, Bernie Mac, Lauren Graham, John Ritter, ","152,299",$60.06M,"https://m.media-amazon.com/images/M/MV5BMjA4Njg1MDcwN15BMl5BanBnXkFtZTYwMzAxNjM3._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
The Christmas Chronicles,PG,104,7.0,52,"Adventure, Comedy, Family",2018,"The story of sister and brother, Kate and Teddy Pierce, whose Christmas Eve plan to catch Santa Claus on camera turns into an unexpected journey that most kids could only dream about.",Clay Kaytis,"Kurt Russell, Darby Camp, Judah Lewis, Oliver Hudson, ","81,195",,"https://m.media-amazon.com/images/M/MV5BNTA3NjU3OTM2MV5BMl5BanBnXkFtZTgwNjQ2MzE1NjM@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
The Nightmare Before Christmas,PG,76,7.9,82,"Animation, Family, Fantasy",1993,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",Henry Selick,"Danny Elfman, Chris Sarandon, Catherine O'Hara, William Hickey, ","368,946",$75.08M,"https://m.media-amazon.com/images/M/MV5BNWE4OTNiM2ItMjY4Ni00ZTViLWFiZmEtZGEyNGY2ZmNlMzIyXkEyXkFqcGdeQXVyMDU5NDcxNw@@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Deck the Halls,PG,93,5.0,28,"Comedy, Family",2006,Two neighbors have it out after one of them decorates his house for the holidays so brightly that it can be seen from space.,John Whitesell,"Matthew Broderick, Danny DeVito, Kristin Chenoweth, Kristin Davis, ","32,250",$35.09M,"https://m.media-amazon.com/images/M/MV5BMTIzNjA4OTM0OV5BMl5BanBnXkFtZTcwMDgwODkzMQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
Best. Christmas. Ever!,TV-PG,82,4.4,34,"Comedy, Romance",2023,Friendships are put to the ultimate test over a boastful holiday newsletter.,Mary Lambert,"Heather Graham, Brandy Norwood, Jason Biggs, Matt Cedeño, ","8,063",,"https://m.media-amazon.com/images/M/MV5BNWQyMzU1NGUtYjU3Ny00MTVkLTllY2YtNDBjZTIxZjg1NmMyXkEyXkFqcGdeQXVyODA4MzkyNjM@._V1_UY209_CR1,0,140,209_AL_.jpg",Movie
It's a Wonderful Knife,R,87,5.3,52,"Comedy, Horror, Mystery",2023,"After saving her town from a psychotic killer, Winnie Carruthers' life is less than wonderful. When she wishes she'd never been born, she finds herself in a nightmare parallel universe where without her, things could be much, much worse.",Tyler MacIntyre,"Jane Widdop, Joel McHale, Justin Long, Jess McLeod, ","3,853",,"https://m.media-amazon.com/images/M/MV5BMWM0YjM0ZWMtNzIxYy00MGVhLWE0ZTYtNjQzNjNlMmE0MzNkXkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_UY209_CR1,0,140,209_AL_.jpg",Movie
A Christmas Story Christmas,PG,98,6.7,55,"Comedy, Family",2022,"Follows the now-adult Ralphie as he returns to the house on Cleveland Street to give his kids a magical Christmas like the one he had as a child, reconnecting with childhood friends, and reconciling the passing of his Old Man.",Clay Kaytis,"Peter Billingsley, Erinn Hayes, River Drosche, Julianna Layne, ","17,394",,"https://m.media-amazon.com/images/M/MV5BMjliZjM5MWMtMzcyYi00Y2ZiLTliOGMtNGNjMjE1YWIwZTkyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
Santa's Slay,R,78,5.3,,"Comedy, Fantasy, Horror",2005,"Santa Claus is actually a demon who lost a bet with an angel, so he becomes the giver of toys and happiness. But when the bet is off, he returns to his evil ways.",David Steiman,"Bill Goldberg, Douglas Smith, Emilie de Ravin, Robert Culp, ","11,044",,"https://m.media-amazon.com/images/M/MV5BMTU1NTY0MzMyMl5BMl5BanBnXkFtZTcwNzU0OTEzMQ@@._V1_UY209_CR2,0,140,209_AL_.jpg",Movie
Rudolph the Red-Nosed Reindeer,TV-G,47,8.0,,"Animation, Adventure, Comedy",1964,"A young reindeer Rudolph lives at the North Pole. His father is one of Santa's reindeer and it is expected that Rudolph will eventually be one too. However, he has a feature which is a setback and causes him to be ostracized: his red nose.",Larry Roemer,"Billie Mae Richards, Burl Ives, Larry D. Mann, Paul Soles, ","36,467",,"https://m.media-amazon.com/images/M/MV5BYjdjZjkyYjUtOWJiZC00ZTE2LTk4MDktZjliOTk5ZDk5ZTZhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY209_CR3,0,140,209_AL_.jpg",Movie
How the Grinch Stole Christmas!,Not Rated,26,8.3,,"Animation, Comedy, Family",1966,A grumpy hermit hatches a plan to steal Christmas from the Whos of Whoville.,Chuck Jones,"Ben Washam, Boris Karloff, June Foray, Dal McKennon, ","57,368",,"https://m.media-amazon.com/images/M/MV5BODE3NTQzMWEtYTVkZS00YjNlLTg0ZGQtMDdmYzYyMmVlNWQ2XkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
